OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEAN
1,15557,1,47.000000000000000,42300.000000000000000,1353.948486328125000
2,16148,2,186.000000000000000,167400.000000000000000,1209.914428710937500
3,18339,3,211.000000000000000,189900.000000000000000,1191.710693359375000
4,13396,4,147.000000000000000,132300.000000000000000,1192.787719726562500
5,15847,5,102.000000000000000,91800.000000000000000,1246.728759765625000
6,15138,6,70.000000000000000,63000.000000000000000,1391.481567382812500
7,15566,7,30.000000000000000,27000.000000000000000,1353.948486328125000
8,14187,8,70.000000000000000,63000.000000000000000,1291.409667968750000
9,15569,9,48.000000000000000,43200.000000000000000,1353.948486328125000
10,13338,10,106.000000000000000,95400.000000000000000,1192.787719726562500
11,19386,11,174.000000000000000,156600.000000000000000,1347.784667968750000
12,15477,12,68.000000000000000,61200.000000000000000,1353.948486328125000
13,14448,13,161.000000000000000,144900.000000000000000,1325.658108349912027
14,13147,14,121.000000000000000,108900.000000000000000,1291.409667968750000
15,19747,15,65.000000000000000,58500.000000000000000,1709.080444335937500
16,15846,16,63.000000000000000,56700.000000000000000,1246.728759765625000
17,11936,17,93.000000000000000,83700.000000000000000,1181.288452148437500
18,17677,18,984.000000000000000,885600.000000000000000,1144.591330675575591
19,13366,19,486.000000000000000,437400.000000000000000,1192.787719726562500
20,11349,20,44.000000000000000,39600.000000000000000,1246.728759765625000
21,17178,21,41.000000000000000,36900.000000000000000,1198.822161418635687
22,14347,22,175.000000000000000,157500.000000000000000,1391.481567382812500
23,17458,23,97.000000000000000,87300.000000000000000,1202.670043945312500
24,17866,24,199.000000000000000,179100.000000000000000,1155.407714843750000
25,19377,25,161.000000000000000,144900.000000000000000,1670.397583007812500
26,15517,26,22.000000000000000,19800.000000000000000,1374.421075994318471
27,13891,27,2848.000000000000000,2563200.000000000000000,1626.378030541239013
28,17139,28,99.000000000000000,89100.000000000000000,1209.914428710937500
29,15936,29,160.000000000000000,144000.000000000000000,1246.728759765625000
30,17416,30,223.000000000000000,200700.000000000000000,1202.670043945312500
31,15589,31,71.000000000000000,63900.000000000000000,1353.948486328125000
32,19356,32,269.000000000000000,242100.000000000000000,1670.397583007812500
33,11386,33,43.000000000000000,38700.000000000000000,1246.728759765625000
34,15776,34,48.000000000000000,43200.000000000000000,1391.481567382812500
35,14757,35,496.000000000000000,446400.000000000000000,1559.379300025201928
36,14177,36,88.000000000000000,79200.000000000000000,1291.409667968750000
37,15859,37,92.000000000000000,82800.000000000000000,1246.728759765625000
38,15546,38,35.000000000000000,31500.000000000000000,1391.481567382812500
39,15817,39,97.000000000000000,87300.000000000000000,1246.728759765625000
40,19436,40,144.000000000000000,129600.000000000000000,1347.784667968750000
41,15987,41,135.000000000000000,121500.000000000000000,1246.728759765625000
42,11788,42,85.000000000000000,76500.000000000000000,1144.945434570312500
43,15188,43,121.000000000000000,108900.000000000000000,1391.481567382812500
44,15888,44,67.000000000000000,60300.000000000000000,1246.728759765625000
45,14398,45,396.000000000000000,356400.000000000000000,1486.961059570312500
46,14357,46,276.000000000000000,248400.000000000000000,1391.481567382812500
47,15756,47,37.000000000000000,33300.000000000000000,1246.728759765625000
48,14456,48,113.000000000000000,101700.000000000000000,1291.409667968750000
49,19148,49,366.000000000000000,329400.000000000000000,1386.011596679687500
50,19866,50,201.000000000000000,180900.000000000000000,1386.011596679687500
51,14786,51,528.000000000000000,475200.000000000000000,1551.157579595391780
52,11148,52,165.000000000000000,148500.000000000000000,1181.288452148437500
53,15796,53,81.000000000000000,72900.000000000000000,1246.728759765625000
54,17389,54,130.000000000000000,117000.000000000000000,1202.670043945312500
55,15518,55,24.000000000000000,21600.000000000000000,1372.715026855468750
56,14178,56,83.000000000000000,74700.000000000000000,1290.871343773531635
57,13868,57,674.000000000000000,606600.000000000000000,1259.586727153654920
58,11176,58,180.000000000000000,162000.000000000000000,1181.288452148437500
59,13888,59,822.000000000000000,739800.000000000000000,1416.479819193373032
60,16117,60,149.000000000000000,134100.000000000000000,1230.421740640730832
61,17116,61,88.000000000000000,79200.000000000000000,1209.914428710937500
62,18377,62,170.000000000000000,153000.000000000000000,1191.710693359375000
63,16466,63,217.000000000000000,195300.000000000000000,1226.051750499532545
64,19346,64,213.000000000000000,191700.000000000000000,1638.982639079922819
65,17398,65,70.000000000000000,63000.000000000000000,1202.670043945312500
66,19798,66,124.000000000000000,111600.000000000000000,1670.397583007812500
67,15599,67,40.000000000000000,36000.000000000000000,1353.948486328125000
68,14696,68,1181.000000000000000,1062900.000000000000000,1522.054460310713921
69,19497,69,137.000000000000000,123300.000000000000000,1347.784667968750000
70,15547,70,49.000000000000000,44100.000000000000000,1391.481567382812500
71,15576,71,37.000000000000000,33300.000000000000000,1360.034931904560608
72,15879,72,107.000000000000000,96300.000000000000000,1379.306097583236124
73,17367,73,149.000000000000000,134100.000000000000000,1202.670043945312500
74,16179,74,79.000000000000000,71100.000000000000000,1209.914428710937500
75,15559,75,26.000000000000000,23400.000000000000000,1353.948486328125000
76,14458,76,140.000000000000000,126000.000000000000000,1478.580285644531386
77,19678,77,157.000000000000000,141300.000000000000000,1386.011596679687500
78,19156,78,276.000000000000000,248400.000000000000000,1386.011596679687500
79,11169,79,71.000000000000000,63900.000000000000000,1181.288452148437500
80,15977,80,50.000000000000000,45000.000000000000000,1246.728759765625000
81,11466,81,75.000000000000000,67500.000000000000000,1246.728759765625000
82,11368,82,100.000000000000000,90000.000000000000000,1246.728759765625000
83,19679,83,237.000000000000000,213300.000000000000000,1386.011596679687500
84,16469,84,126.000000000000000,113400.000000000000000,1239.436930338541515
85,15516,85,36.000000000000000,32400.000000000000000,1378.970540364583258
86,15586,86,39.000000000000000,35100.000000000000000,1353.948486328125000
87,15698,87,31.000000000000000,27900.000000000000000,1353.948486328125000
88,15768,88,40.000000000000000,36000.000000000000000,1391.481567382812500
89,15519,89,23.000000000000000,20700.000000000000000,1368.635344132133014
90,17318,90,139.000000000000000,125100.000000000000000,1209.914428710937500
91,19196,91,97.000000000000000,87300.000000000000000,1390.353738371858981
92,15316,92,71.000000000000000,63900.000000000000000,1391.481567382812500
93,11577,93,117.000000000000000,105300.000000000000000,1213.690257537058642
94,19468,94,115.000000000000000,103500.000000000000000,1347.784667968750000
95,14768,95,732.000000000000000,658800.000000000000000,1531.215165935579080
96,14746,96,708.000000000000000,637200.000000000000000,1561.094726562500000
97,14678,97,677.000000000000000,609300.000000000000000,1521.016405564819252
98,17338,98,73.000000000000000,65700.000000000000000,1202.670043945312500
99,13811,99,1880.000000000000000,1692000.000000000000000,1344.398021292177191
100,11719,100,102.000000000000000,91800.000000000000000,1144.945434570312500
101,19598,101,232.000000000000000,208800.000000000000000,1347.784667968750000
102,15836,102,77.000000000000000,69300.000000000000000,1246.728759765625000
103,16757,103,207.000000000000000,186300.000000000000000,1419.922431098089874
104,15598,104,39.000000000000000,35100.000000000000000,1353.948486328125000
105,19518,105,289.000000000000000,260100.000000000000000,1347.784667968750000
106,11118,106,47.000000000000000,42300.000000000000000,1181.288452148437500
107,19338,107,216.000000000000000,194400.000000000000000,1375.569981892902888
108,19937,108,90.000000000000000,81000.000000000000000,1484.494327799478924
109,15778,109,47.000000000000000,42300.000000000000000,1391.481567382812500
110,14439,110,81.000000000000000,72900.000000000000000,1291.409667968750000
111,14749,111,1007.000000000000000,906300.000000000000000,1560.020561513740176
112,11668,112,72.000000000000000,64800.000000000000000,1181.288452148437500
113,15577,113,31.000000000000000,27900.000000000000000,1353.948486328125000
114,16639,114,217.000000000000000,195300.000000000000000,1353.948486328125000
115,15946,115,97.000000000000000,87300.000000000000000,1246.728759765625000
116,16449,116,229.000000000000000,206100.000000000000000,1202.670043945312500
117,13999,117,1481.000000000000000,1332900.000000000000000,1487.981707504032329
118,15448,118,68.000000000000000,61200.000000000000000,1353.948486328125000
119,14377,119,345.000000000000000,310500.000000000000000,1449.876271300385952
120,19157,120,167.000000000000000,150300.000000000000000,1386.011596679687500
121,17167,121,56.000000000000000,50400.000000000000000,1208.754268101283515
122,18398,122,209.000000000000000,188100.000000000000000,1191.710693359375000
123,16536,123,539.000000000000000,485100.000000000000000,1419.693847656250000
124,14337,124,170.000000000000000,153000.000000000000000,1386.372644761029505
125,13478,125,235.000000000000000,211500.000000000000000,1246.085538563830141
126,17678,126,327.000000000000000,294300.000000000000000,1144.945434570312500
127,19978,127,471.000000000000000,423900.000000000000000,1482.335937500000000
128,19879,128,339.000000000000000,305100.000000000000000,1709.080444335937500
129,18548,129,1185.000000000000000,1066500.000000000000000,1155.422610512263191
130,11997,130,151.000000000000000,135900.000000000000000,1181.288452148437500
131,17346,131,61.000000000000000,54900.000000000000000,1202.670043945312500
132,11389,132,87.000000000000000,78300.000000000000000,1246.728759765625000
133,15339,133,176.000000000000000,158400.000000000000000,1391.481567382812500
134,16698,134,200.000000000000000,180000.000000000000000,1416.513305664062500
135,17377,135,78.000000000000000,70200.000000000000000,1202.670043945312500
136,16487,136,270.000000000000000,243000.000000000000000,1423.271362304687500
137,13448,137,135.000000000000000,121500.000000000000000,1291.409667968750000
138,11197,138,100.000000000000000,90000.000000000000000,1172.566127929687582
139,14699,139,1181.000000000000000,1062900.000000000000000,1518.780273437500000
140,16479,140,224.000000000000000,201600.000000000000000,1202.670043945312500
141,14476,141,281.000000000000000,252900.000000000000000,1486.961059570312500
142,15717,142,102.000000000000000,91800.000000000000000,1246.728759765625000
143,13586,143,379.000000000000000,341100.000000000000000,1222.279052734375000
144,18968,144,926.000000000000000,833400.000000000000000,1233.296752929687500
145,19819,145,2413.000000000000000,2171700.000000000000000,1626.333397142434251
146,19788,146,137.000000000000000,123300.000000000000000,1670.397583007812500
147,15997,147,58.000000000000000,52200.000000000000000,1246.728759765625000
148,18458,148,851.000000000000000,765900.000000000000000,1191.710693359375000
149,15396,149,479.000000000000000,431100.000000000000000,1391.481567382812500
150,18731,150,181.000000000000000,162900.000000000000000,1112.854858398437500
151,18757,151,143.000000000000000,128700.000000000000000,1123.145632443728118
152,14719,152,274.000000000000000,246600.000000000000000,1561.094726562500000
153,16697,153,229.000000000000000,206100.000000000000000,1416.513305664062500
154,15899,154,57.000000000000000,51300.000000000000000,1246.728759765625000
155,16198,155,98.000000000000000,88200.000000000000000,1209.914428710937500
156,18367,156,482.000000000000000,433800.000000000000000,1191.710693359375000
157,17856,157,252.000000000000000,226800.000000000000000,1152.292481437561946
158,16576,158,582.000000000000000,523800.000000000000000,1408.241266519344208
159,17736,159,183.000000000000000,164700.000000000000000,1144.945434570312500
160,15978,160,51.000000000000000,45900.000000000000000,1246.728759765625000
161,15187,161,111.000000000000000,99900.000000000000000,1391.481567382812500
162,19669,162,198.000000000000000,178200.000000000000000,1386.011596679687500
163,17467,163,458.000000000000000,412200.000000000000000,1393.183494068128539
164,16586,164,555.000000000000000,499500.000000000000000,1387.988150601773214
165,11168,165,60.000000000000000,54000.000000000000000,1181.288452148437500
166,14646,166,784.000000000000000,705600.000000000000000,1521.916810171944690
167,16587,167,503.000000000000000,452700.000000000000000,1381.605834960937500
168,19556,168,1477.000000000000000,1329300.000000000000000,1588.411241989806740
169,11856,169,98.000000000000000,88200.000000000000000,1181.288452148437500
170,16948,170,81.000000000000000,72900.000000000000000,1510.712660047743384
171,11388,171,94.000000000000000,84600.000000000000000,1246.728759765625000
172,16696,172,356.000000000000000,320400.000000000000000,1416.513305664062500
173,16599,173,769.000000000000000,692100.000000000000000,1474.415231136723605
174,17718,174,96.000000000000000,86400.000000000000000,1144.945434570312500
175,19976,175,1014.000000000000000,912600.000000000000000,1482.335937500000000
176,14549,176,114.000000000000000,102600.000000000000000,1310.918945312500000
177,18396,177,208.000000000000000,187200.000000000000000,1191.710693359375000
178,11418,178,47.000000000000000,42300.000000000000000,1246.728759765625000
179,13881,179,3328.000000000000000,2995200.000000000000000,1512.775097663585711
180,14616,180,353.000000000000000,317700.000000000000000,1518.684009757325612
181,11888,181,202.000000000000000,181800.000000000000000,1185.209691415918769
182,17769,182,720.000000000000000,648000.000000000000000,1144.945434570312500
183,11459,183,76.000000000000000,68400.000000000000000,1246.728759765625000
184,11397,184,70.000000000000000,63000.000000000000000,1246.728759765625000
185,16786,185,3525.000000000000000,3172500.000000000000000,1418.349963326962325
186,17797,186,295.000000000000000,265500.000000000000000,1144.613196835275630
187,16849,187,203.000000000000000,182700.000000000000000,1422.918897807304802
188,14847,188,895.000000000000000,805500.000000000000000,1539.966857978352664
189,14388,189,243.000000000000000,218700.000000000000000,1486.175220128439605
190,18346,190,168.000000000000000,151200.000000000000000,1191.710693359375000
191,17788,191,202.000000000000000,181800.000000000000000,1144.350830078125000
192,13998,192,674.000000000000000,606600.000000000000000,1438.994018554687500
193,15999,193,129.000000000000000,116100.000000000000000,1246.728759765625000
194,11759,194,80.000000000000000,72000.000000000000000,1144.945434570312500
195,19159,195,432.000000000000000,388800.000000000000000,1386.011596679687500
196,14418,196,116.000000000000000,104400.000000000000000,1291.409667968750000
197,13668,197,281.000000000000000,252900.000000000000000,1192.787719726562500
198,13861,198,3114.000000000000000,2802600.000000000000000,1485.547094365915655
199,14916,199,518.000000000000000,466200.000000000000000,1503.518732137202051
200,13817,200,78.000000000000000,70200.000000000000000,1222.279052734375000
201,11848,201,220.000000000000000,198000.000000000000000,1158.148261607776476
202,14739,202,926.000000000000000,833400.000000000000000,1561.094726562500000
203,14876,203,434.000000000000000,390600.000000000000000,1554.633052702871282
204,14639,204,3330.000000000000000,2997000.000000000000000,1512.699962829040487
205,11199,205,104.000000000000000,93600.000000000000000,1181.288452148437500
206,14966,206,725.000000000000000,652500.000000000000000,1618.528442382812500
207,16767,207,251.000000000000000,225900.000000000000000,1423.271362304687500
208,14319,208,366.000000000000000,329400.000000000000000,1392.785932030180902
209,18146,209,86.000000000000000,77400.000000000000000,1191.710693359375000
210,11836,210,93.000000000000000,83700.000000000000000,1144.945434570312500
211,17668,211,793.000000000000000,713700.000000000000000,1154.867409627945790
212,19416,212,63.000000000000000,56700.000000000000000,1361.740530831473279
213,14138,213,158.000000000000000,142200.000000000000000,1280.663626755339919
214,11779,214,41.000000000000000,36900.000000000000000,1160.014490639291125
215,11868,215,175.000000000000000,157500.000000000000000,1181.288452148437500
216,16456,216,492.000000000000000,442800.000000000000000,1308.267839137131887
217,16958,217,427.000000000000000,384300.000000000000000,1416.513305664062500
218,16418,218,136.000000000000000,122400.000000000000000,1209.914428710937500
219,17638,219,109.000000000000000,98100.000000000000000,1144.945434570312500
220,19597,220,165.000000000000000,148500.000000000000000,1347.784667968750000
221,14731,221,1307.000000000000000,1176300.000000000000000,1533.592287584580617
222,13166,222,179.000000000000000,161100.000000000000000,1291.409667968750000
223,13658,223,332.000000000000000,298800.000000000000000,1194.713998449853307
