OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEDIAN
1,15557,1,53.000000000000000,47700.000000000000000,0.051632449030876
2,16148,2,187.000000000000000,168300.000000000000000,0.022884380072355
3,18339,3,213.000000000000000,191700.000000000000000,0.030744684860110
4,13396,4,148.000000000000000,133200.000000000000000,0.038860389962792
5,15847,5,97.000000000000000,87300.000000000000000,0.023997113108635
6,15138,6,71.000000000000000,63900.000000000000000,0.032785344868898
7,15566,7,28.000000000000000,25200.000000000000000,0.048351285979152
8,14187,8,72.000000000000000,64800.000000000000000,0.044838981702924
9,15569,9,45.000000000000000,40500.000000000000000,0.043374933302402
10,13338,10,104.000000000000000,93600.000000000000000,0.017097300849855
11,19386,11,177.000000000000000,159300.000000000000000,0.058970388025045
12,15477,12,67.000000000000000,60300.000000000000000,0.064150482416153
13,14448,13,164.000000000000000,147600.000000000000000,0.048448486253619
14,13147,14,109.000000000000000,98100.000000000000000,0.022545900195837
15,19747,15,61.000000000000000,54900.000000000000000,0.118777148425579
16,15846,16,56.000000000000000,50400.000000000000000,0.031818324699998
17,11936,17,92.000000000000000,82800.000000000000000,0.027865912765265
18,17677,18,982.000000000000000,883800.000000000000000,0.062266699969769
19,13366,19,499.000000000000000,449100.000000000000000,0.112280480563641
20,11349,20,44.000000000000000,39600.000000000000000,0.014514551032335
21,17178,21,44.000000000000000,39600.000000000000000,0.030406444333494
22,14347,22,176.000000000000000,158400.000000000000000,0.064240176230669
23,17458,23,97.000000000000000,87300.000000000000000,0.037692699581385
24,17866,24,197.000000000000000,177300.000000000000000,0.037940382957458
25,19377,25,160.000000000000000,144000.000000000000000,0.075642045587301
26,15517,26,28.000000000000000,25200.000000000000000,0.061746073886752
27,13891,27,2850.000000000000000,2565000.000000000000000,0.060370784252882
28,17139,28,97.000000000000000,87300.000000000000000,0.022484062239528
29,15936,29,151.000000000000000,135900.000000000000000,0.027435937896371
30,17416,30,224.000000000000000,201600.000000000000000,0.032880099490285
31,15589,31,71.000000000000000,63900.000000000000000,0.243444651365280
32,19356,32,270.000000000000000,243000.000000000000000,0.116071980446577
33,11386,33,41.000000000000000,36900.000000000000000,0.036687549203634
34,15776,34,47.000000000000000,42300.000000000000000,0.032003045082092
35,14757,35,503.000000000000000,452700.000000000000000,0.038247521966696
36,14177,36,87.000000000000000,78300.000000000000000,0.070882022380829
37,15859,37,102.000000000000000,91800.000000000000000,0.030746665783226
38,15546,38,37.000000000000000,33300.000000000000000,0.033037498593330
39,15817,39,107.000000000000000,96300.000000000000000,0.025311818346381
40,19436,40,142.000000000000000,127800.000000000000000,0.071828488260508
41,15987,41,135.000000000000000,121500.000000000000000,0.032326411455870
42,11788,42,84.000000000000000,75600.000000000000000,0.029597010463476
43,15188,43,118.000000000000000,106200.000000000000000,0.056643294170499
44,15888,44,67.000000000000000,60300.000000000000000,0.029057553038001
45,14398,45,394.000000000000000,354600.000000000000000,0.100245088338852
46,14357,46,280.000000000000000,252000.000000000000000,0.081389512866735
47,15756,47,32.000000000000000,28800.000000000000000,0.049925070255995
48,14456,48,115.000000000000000,103500.000000000000000,0.039185702800751
49,19148,49,366.000000000000000,329400.000000000000000,0.196708343923092
50,19866,50,198.000000000000000,178200.000000000000000,0.065932407975197
51,14786,51,529.000000000000000,476100.000000000000000,0.044577825814486
52,11148,52,166.000000000000000,149400.000000000000000,0.032944656908512
53,15796,53,69.000000000000000,62100.000000000000000,0.032384403049946
54,17389,54,133.000000000000000,119700.000000000000000,0.041688878089190
55,15518,55,27.000000000000000,24300.000000000000000,0.035247523337603
56,14178,56,90.000000000000000,81000.000000000000000,0.037283031269908
57,13868,57,671.000000000000000,603900.000000000000000,0.018105581402779
58,11176,58,182.000000000000000,163800.000000000000000,0.038996802642941
59,13888,59,825.000000000000000,742500.000000000000000,0.033777948468924
60,16117,60,144.000000000000000,129600.000000000000000,0.027164267376065
61,17116,61,87.000000000000000,78300.000000000000000,0.016463562846184
62,18377,62,176.000000000000000,158400.000000000000000,0.048242783173919
63,16466,63,217.000000000000000,195300.000000000000000,0.045253351330757
64,19346,64,213.000000000000000,191700.000000000000000,0.068785332143307
65,17398,65,67.000000000000000,60300.000000000000000,0.045929897576571
66,19798,66,126.000000000000000,113400.000000000000000,0.120418742299080
67,15599,67,33.000000000000000,29700.000000000000000,0.044728688895702
68,14696,68,1189.000000000000000,1070100.000000000000000,0.066489450633526
69,19497,69,138.000000000000000,124200.000000000000000,0.085805770009756
70,15547,70,42.000000000000000,37800.000000000000000,0.043973166495562
71,15576,71,47.000000000000000,42300.000000000000000,0.042837791144848
72,15879,72,104.000000000000000,93600.000000000000000,0.037752902135253
73,17367,73,146.000000000000000,131400.000000000000000,0.038536626845598
74,16179,74,76.000000000000000,68400.000000000000000,0.015822684392333
75,15559,75,24.000000000000000,21600.000000000000000,0.066288929432631
76,14458,76,143.000000000000000,128700.000000000000000,0.101521566510201
77,19678,77,155.000000000000000,139500.000000000000000,0.055949620902538
78,19156,78,275.000000000000000,247500.000000000000000,0.059953927993774
79,11169,79,70.000000000000000,63000.000000000000000,0.020083572715521
80,15977,80,47.000000000000000,42300.000000000000000,0.046956498175859
81,11466,81,76.000000000000000,68400.000000000000000,0.018857789225876
82,11368,82,99.000000000000000,89100.000000000000000,0.068542174994946
83,19679,83,237.000000000000000,213300.000000000000000,0.059670213609934
84,16469,84,127.000000000000000,114300.000000000000000,0.049398135393858
85,15516,85,37.000000000000000,33300.000000000000000,0.048687260597944
86,15586,86,40.000000000000000,36000.000000000000000,0.042198713868856
87,15698,87,35.000000000000000,31500.000000000000000,0.045469712466002
88,15768,88,41.000000000000000,36900.000000000000000,0.047666128724813
89,15519,89,20.000000000000000,18000.000000000000000,0.036161931231618
90,17318,90,138.000000000000000,124200.000000000000000,0.045491900295019
91,19196,91,98.000000000000000,88200.000000000000000,0.072436183691025
92,15316,92,66.000000000000000,59400.000000000000000,0.052946614101529
93,11577,93,118.000000000000000,106200.000000000000000,0.033071370795369
94,19468,94,114.000000000000000,102600.000000000000000,0.083721410483122
95,14768,95,736.000000000000000,662400.000000000000000,0.066715206950903
96,14746,96,705.000000000000000,634500.000000000000000,0.039063535630703
97,14678,97,668.000000000000000,601200.000000000000000,0.088889446109533
98,17338,98,73.000000000000000,65700.000000000000000,0.029248127713799
99,13811,99,1883.000000000000000,1694700.000000000000000,0.054946415126324
100,11719,100,98.000000000000000,88200.000000000000000,0.029119936749339
101,19598,101,226.000000000000000,203400.000000000000000,0.055813873186707
102,15836,102,73.000000000000000,65700.000000000000000,0.026163872331381
103,16757,103,209.000000000000000,188100.000000000000000,0.041418731212616
104,15598,104,36.000000000000000,32400.000000000000000,0.029530789703131
105,19518,105,285.000000000000000,256500.000000000000000,0.076048813760281
106,11118,106,48.000000000000000,43200.000000000000000,0.037281969562173
107,19338,107,222.000000000000000,199800.000000000000000,0.085835590958595
108,19937,108,90.000000000000000,81000.000000000000000,0.127209421247244
109,15778,109,44.000000000000000,39600.000000000000000,0.039355255663395
110,14439,110,81.000000000000000,72900.000000000000000,0.037465680390596
111,14749,111,1008.000000000000000,907200.000000000000000,0.051010344177485
112,11668,112,70.000000000000000,63000.000000000000000,0.010402031242847
113,15577,113,25.000000000000000,22500.000000000000000,0.040640834718943
114,16639,114,219.000000000000000,197100.000000000000000,0.073573395609856
115,15946,115,96.000000000000000,86400.000000000000000,0.024613209068775
116,16449,116,229.000000000000000,206100.000000000000000,0.031021840870380
117,13999,117,1480.000000000000000,1332000.000000000000000,0.048964388668537
118,15448,118,70.000000000000000,63000.000000000000000,0.082854490727186
119,14377,119,342.000000000000000,307800.000000000000000,0.084274094551802
120,19157,120,165.000000000000000,148500.000000000000000,0.112866662442684
121,17167,121,56.000000000000000,50400.000000000000000,0.020604551769793
122,18398,122,213.000000000000000,191700.000000000000000,0.046984165906906
123,16536,123,540.000000000000000,486000.000000000000000,0.059498714283109
124,14337,124,165.000000000000000,148500.000000000000000,0.055923111736774
125,13478,125,228.000000000000000,205200.000000000000000,0.018066636286676
126,17678,126,328.000000000000000,295200.000000000000000,0.072919834405184
127,19978,127,469.000000000000000,422100.000000000000000,0.059549421072006
128,19879,128,338.000000000000000,304200.000000000000000,0.083606235682964
129,18548,129,1181.000000000000000,1062900.000000000000000,0.136589393019676
130,11997,130,151.000000000000000,135900.000000000000000,0.020260991528630
131,17346,131,65.000000000000000,58500.000000000000000,0.050084136426449
132,11389,132,86.000000000000000,77400.000000000000000,0.025789128616452
133,15339,133,186.000000000000000,167400.000000000000000,0.082536239176989
134,16698,134,200.000000000000000,180000.000000000000000,0.079195979982615
135,17377,135,80.000000000000000,72000.000000000000000,0.046151554211974
136,16487,136,266.000000000000000,239400.000000000000000,0.046351220458746
137,13448,137,132.000000000000000,118800.000000000000000,0.016811635345221
138,11197,138,100.000000000000000,90000.000000000000000,0.028286760672927
139,14699,139,1167.000000000000000,1050300.000000000000000,0.103358738124371
140,16479,140,219.000000000000000,197100.000000000000000,0.026674728840590
141,14476,141,276.000000000000000,248400.000000000000000,0.040286142379045
142,15717,142,102.000000000000000,91800.000000000000000,0.053694924339652
143,13586,143,375.000000000000000,337500.000000000000000,0.025155110284686
144,18968,144,925.000000000000000,832500.000000000000000,0.043085034936666
